Diet,BMI,IV GTT Insulin AUC,24 Hour Activity,Calories/Day,Calories/Day/KG,Gait Speed,Steatosis (0-Liver HU),% Whole Body Fat,Acute Stress Cortisol,ACTH Challenge Cortisol,Systolic BP,Diastolic BP,Mean BP,Pulse Wave Velocity,CSF pTau181,CSF Ab42,CSF Ab40,CSF Ab42/Ab40,CSF pTau181/Ab42,Day Mean Heart Rate,Day SDNN HR Sdnn,Day RMSSD,Day VLF HR Oscillations,Day %LF HR Oscillations,Day %HF HR Oscillations,Day LF/HF HR Oscillations,Night Mean Heart Rate,Night SDNN,Night RMSSD,Night  %VLF HR Oscillations,Night LF HR Oscillations,Night %HF Oscillations,Night LF/HF HR Oscillations,Sup.Temp.Gyrus Thickness-Left,Mid.Temp.Gyrus Thickness-Left,Sup.Temp.Gyrus Thickness-Right,Mid.Temp.Gyrus Thickness-Right,Coronary Artery Atherosclerosis,LAD Atherosclerosis,% Change Left Caudate,% Change Left Putamen,% Change Right Caudate,% Change Right Putamen,% Change Left Meta ROI,% Change Right Meta ROI,% Change CSF,% Change Total Gray Matter,% Change Cortical Gray Matter,% ChangeDeep Gray Matter,% Change White Matter,% Change Brain Volume,Mean Peak Progesterone,Menstrual Cycle Length,Time to Sleep,Total Sleep Time,# Awakenings Night,% Time Alone,% Time Body Contact,% Time Depressed,% Time Anxiety
1.0,35.01388771988889,12605.329987047251,8659.9875,211.83882352941174,81.4764705882353,58.458000000000006,72.06888888888888,13.095499999999998,21421.618904059353,795.2812477305572,117.32999999999998,69.32999999999998,86.66999999999999,7.1,54.5,463.0799999999999,24038.773,0.01926387840178032,0.11769024790532955,149.6707244,31.6832,8.8866,8.47,60.47,31.06,1.9467,135.7926898,39.3056,9.244,9.89,61.39,28.72,2.1371,2.270479,1.85875,2.287237,1.912789,0.02556901975668252,0.0245249857029745,4.671173939766441,2.6448736998514115,1.8366054464851171,3.094584477164961,-9.201313936483196,-6.493919124372933,10.950464243382061,-2.3595744398252068,-5.079646992413917,72.02560240963855,2.570774465018177,-0.46034124453408565,13.605999999999998,28.83333,1.0,635.0,18.0,44.43541666666666,4.317708333333332,0.0052083333333333304,18.697916666666664
1.0,33.34383532871245,1240.6799993607228,18606.7,193.53176470588235,77.41270588235294,55.403999999999996,61.606666666666655,9.1096,17877.773105720902,383.23126510710165,125.32999999999998,64.66999999999999,86.32999999999998,4.5,24.65,50.39,20462.750999999997,0.0024625232452860327,0.4891843619765826,161.8908855,28.2679,3.9625,17.05,55.16,27.79,1.9844,137.1052511,51.4923,7.6945,16.61,56.13,27.27,2.0584,2.736505,2.059303,2.680232,2.047892,0.014234312789683986,0.0211750174762078,0.9720062208398134,4.933008526187576,3.216374269005848,2.498712004121587,-0.25629400101614946,0.9569823911388421,2.2562240663900415,0.1020573584460754,0.009786382835467417,1.5790463061595337,1.1009982384028185,0.4574154956323585,10.51153,30.25,3.0,541.0,34.0,47.358333333333306,4.733333333333332,0.2447916666666666,34.69062499999998
2.0,40.47746543603926,2343.130002477352,4976.570833333333,214.15111111111113,97.34141414141415,62.83249999999999,72.82333333333332,8.0059,19295.545784534028,546.1312486140218,115.0,61.0,79.66999999999999,6.699999999999999,28.47,225.83999999999997,20670.602,0.01092566147807403,0.12606269925611052,139.0047262,78.1576,17.3558,15.59,56.51,27.9,2.0253,110.5990783,129.3869,30.2847,13.98,59.49,26.53,2.2419,2.726588,2.10439,2.736629,2.123172,0.011520249951248682,0.0195827804915301,0.8766014834794336,0.5968169761273209,-7.242240456653586,-0.02904443799012489,-1.0129553812232839,-0.6322425016397628,6.251259826647853,-1.7066748355895638,-1.7600574712643677,0.06691947356680794,0.525545587580327,-0.9505973828939883,7.1634899999999995,31.09091,0.0,685.0,12.0,42.55625,28.918749999999996,0.30208333333333326,16.79479166666666
1.0,57.024782299507585,7489.479997403716,19282.125,189.7094117647059,44.1184678522572,56.120000000000005,54.26666666666666,38.0997,18875.938685865374,940.7437480952435,127.32999999999998,71.66999999999999,91.66999999999999,7.799999999999999,13.02,563.0,25443.29,0.0221276415117699,0.023126110124333923,169.2811195,42.6895,7.0685,19.54,53.75,26.71,2.0124,128.4714044,34.7674,6.2376,16.68,56.23,27.09,2.0758,2.836631,2.46442,2.913048,2.433927,0.034685697133700184,0.096747195,1.7146554513102554,0.6126798082045818,-0.5617977528089888,-3.866272458494428,15.562366987373386,15.021761910845385,-10.894641410439412,5.4874641196941605,8.467487055342614,-45.1130395067367,-2.3442642935511397,2.80503386249572,1.22541,49.71429,0.0,536.0,53.0,61.17395833333331,0.15625,0.0052083333333333304,49.96354166666665
2.0,33.7198214507815,1912.569998262698,11541.208333333334,199.45777777777775,83.10740740740741,60.124,86.60888888888887,7.445599999999999,18908.62689569233,768.9187475987223,116.66999999999999,67.0,85.0,7.4,43.41,497.15999999999997,11987.82,0.04147209417558822,0.0873159546222544,161.8297551,105.1534,24.7402,15.0,59.57,25.43,2.3421,156.9940866,45.3681,9.1466,27.11,51.59,21.3,2.4214,2.383517,1.964659,2.600272,2.133121,0.025245750606148355,0.0161170826364558,1.792336217552534,1.5825375170532059,3.459010722933241,5.463071512309496,-2.697354888822677,1.3556295499614017,4.449008246277649,-0.052556783801446,-0.40773746115474185,5.6429286681981505,2.6016279470175085,0.924299236961481,15.99542,37.3,8.0,619.0,24.0,31.762499999999985,31.830208333333324,5.173958333333332,9.89583333333333
1.0,41.53511722995705,4426.329994041756,14351.404166666669,247.30874999999997,77.28398437499999,54.848,60.75777777777777,18.6539,23741.85053888231,571.0687477836339,130.0,56.67,82.66999999999999,5.9,29.47,582.98,24300.972,0.023989986902581507,0.05055061923222066,112.3195867,95.5924,26.1884,13.39,58.14,28.46,2.0428,88.34832801,121.3476,41.0104,8.46,62.53,29.0,2.156,3.126057,2.417719,3.053466,2.536345,0.014910961647339974,0.0120618119084623,2.2307904158633987,5.060106234274532,-0.8465011286681716,2.5334608030592736,16.24915869583975,16.110203926277165,-8.77022150578108,5.715413339809952,8.668890785424264,-39.842425451281535,-3.1444015967973584,2.620277968726543,13.96529,30.16667,7.0,583.0,23.0,68.80208333333333,0.8197916666666664,0.020833333333333322,39.60104166666667
2.0,40.41856774449514,6630.68999394481,14344.358333333332,201.82222222222222,63.06944444444444,60.92999999999999,68.11777777777777,16.7237,19895.880486611226,508.95001631137745,134.0,72.0,94.0,8.2,26.22,600.3299999999999,16969.343999999997,0.03537732513407708,0.043675978211983414,122.8476075,64.497,14.0113,18.52,55.05,26.43,2.0833,104.1775185,78.635,13.4779,18.0,55.74,26.26,2.1226,2.422773,1.876509,2.416567,1.871319,0.014122442276344583,0.0252156725830314,0.23273855702094648,3.9623717217787915,-1.342281879194631,-0.6867156050201279,-13.556046774843303,-12.025159392368106,9.831825270097394,-4.903267711055782,-7.442613133198693,79.96380283189609,4.221144870366467,-1.8072584600294261,13.122589999999999,31.72727,6.0,609.0,19.0,26.026041666666657,17.031249999999993,1.959374999999999,19.05937499999999
1.0,47.95140923863819,1942.5899988541346,17781.087499999998,292.19625,81.16562500000002,56.25599999999999,63.0111111111111,15.162599999999998,23299.2043413332,465.9937682310642,93.66999999999999,46.33,63.33,7.9,29.049999999999997,619.1499999999999,29343.595999999998,0.021100004239425867,0.04691916336913511,130.9843474,131.5276,30.5771,13.35,58.89,27.76,2.1213,132.1556794,132.1226,28.0228,20.15,55.81,24.04,2.322,3.090987,2.373229,3.073499,2.517027,0.014920179551821114,0.029084154166475,2.014254725751472,3.672316384180791,3.029366306027821,1.5889029003783102,2.272787463694102,2.0849282874205954,2.1725857331840848,-0.007952520507194085,0.4353844371406097,-12.620348685922455,2.992075836813678,0.9663632404094563,16.89134,28.41667,20.0,491.0,28.0,7.1656249999999995,13.640624999999991,0.013541666666666664,10.744791666666663
1.0,40.44723432898099,2642.569997965482,18139.666666666668,268.3694117647059,81.324064171123,65.55199999999999,71.01222222222222,12.319299999999998,24697.699964853695,652.4624984196939,114.0,62.67,78.5,4.1,40.69,596.56,20883.686999999998,0.028565837057412325,0.06820772428590587,139.0079466,52.8176,13.54,10.66,62.53,26.81,2.3325,126.2201279,66.8082,16.0435,12.56,58.93,28.51,2.0673,3.225934,2.310728,3.045551,2.280325,0.018331140912215976,0.0601398988243496,2.9774872912127814,-0.09560229445506692,2.9901589704769114,0.2727024815925825,5.761115793917871,2.617496873209777,-5.522343349092851,1.6319720978771317,2.277606546923159,-18.5410670799203,1.213760437061408,1.490681535597466,14.054839999999999,31.6,0.0,638.0,21.0,51.05833333333331,5.834374999999998,0.07291666666666663,33.427083333333314
1.0,47.70923390536224,3838.2799964772357,20071.587499999998,199.76823529411766,60.53582887700536,74.28399999999999,55.96222222222221,28.017399999999995,15769.886440012502,606.4875122335329,148.0,78.32999999999998,103.0,9.099999999999998,33.629999999999995,346.35,17218.852999999996,0.020114580222039186,0.09709831095712428,93.54828651,180.9545,53.5087,14.66,57.38,27.96,2.0525,103.9051,161.804,41.6911,12.96,60.34,26.69,2.2605,2.812502,2.105788,2.990368,2.272702,0.021669477586320807,0.0634647828085025,1.789505611161662,-2.3334356770033775,1.370697532744441,-0.9245377311344328,17.379215934963934,19.344493956162182,-16.825049125406693,7.074623388159572,11.681337993866489,-58.37347063057078,-0.8481685152390718,4.147642101735224,16.446109999999997,28.83333,3.0,637.0,25.0,51.47291666666664,4.882291666666666,0.008333333333333328,23.81979166666666
